score,targets_reached,n_steps,payload_accel_w,payload_quat_w_0,payload_quat_w_1,payload_quat_w_2,payload_quat_w_3,drone_quat_w_0,drone_quat_w_1,drone_quat_w_2,drone_quat_w_3,payload_angvel_w,drone_angvel_w,cable_angles_w,N,velocity_ref,r_T,r_tau,W_Tf,T_f_initial
9381,600,1695,1,0.19341848288181096,0.078323441339014,0.17206210646437162,0.4415677609863619,0.41494092628262214,0.4275798924740033,0.4339929810150224,0.05007553824019223,0.07302178065645498,0.29383594687221426,0.19352763364474773,20,5.65061398490526,0.29619180619914687,0.382040721654033,0.20590149720223472,1.3387345735616014
9361,620,1382,1,0.07752684394083943,0.0555494890616377,0.05858493094880533,0.17795396121687942,0.2992742761780805,0.06155497097375697,0.4058513793593731,0.1362769480421939,0.0,0.24081845450886452,0.3616924381980743,18,8.614650412874333,0.27499893324499236,0.37028759108116227,0.5,1.1877125993134179
9401,580,1989,1,0.04348739852557325,0.0,0.35654805169033155,0.3064943939762343,0.18318749820842525,0.4995225942053387,0.024589272106387554,0.3071537707160603,0.05386865663731152,0.3861352951175098,0.26499849594046154,20,6.215622343645164,0.018010314707916683,0.021575783659047113,0.5,1.446865595221954
9313,668,1432,1,0.0,0.0,0.0,0.17066819967496147,0.14593095953385024,0.0997212207958468,0.3406449276232186,0.06273671492569508,0.2172840302088482,0.07201334480411355,0.1338644515464162,17,0.578624222487029,0.3652916156549623,0.4665326128315537,0.5,0.7943937873680598
9261,720,6136,1,0.0,0.5,0.0,0.5,0.04696244611319437,0.44402479287974855,0.3615240038978506,0.33530302186838473,0.0,0.16179302834302695,0.4756829082356226,15,0.0,0.4989123309365926,0.26292801441727626,0.5,0.8784380659727973
9301,680,816,1,0.13227696875139205,0.07932356953144502,0.29699592942592384,0.3405733430580195,0.32330332830080827,0.41787557613025106,0.36529760487821766,0.33625298119274144,0.0,0.25094798092078435,0.10947045268580147,19,0.0,0.0059877359442215596,0.1494199381672499,0.4606049749277227,1.2265935747643228
9221,760,2019,1,0.029508146082803728,0.25478407362214434,0.35008443245782345,0.1394691903997065,0.15365960621365396,0.23566407103393633,0.4763679289669442,0.3466900044920725,0.0,0.13812979187296728,0.3040205915634781,19,0.0,0.31344943455335833,0.06808062460139548,0.20598826076667578,0.8910745035732237
9401,580,938,1,0.07882001653660367,0.4349399380854098,0.2192626400404035,0.2437011258411403,0.3145323792199582,0.12191188702552534,0.13842737154007964,0.0915607903208389,0.0,0.17212445423782316,0.06948878511510413,17,0.0,0.027148677984891928,0.28276699384436227,0.0,0.923206494545568
9181,800,2510,1,0.0,0.15055692993012412,0.30407727945611923,0.3146989483565146,0.08459364516425869,0.42767020939186173,0.5,0.27185986632868464,0.0,0.27747175511533123,0.3785671806899593,16,0.0,0.4960230426622148,0.15399633524003892,0.14220985184378235,1.2106004895555353
9261,720,1842,1,0.0,0.0,0.015193064207126234,0.35941819933938013,0.4346315232523287,0.17859488618471925,0.5,0.34715618968473383,0.05092387069948347,0.2899890180102467,0.37459839262565403,18,0.0,0.4649536212242268,0.0,0.1016316928435498,1.2510267936061603
9161,820,2039,1,0.0,0.0,0.016627304644303294,0.09884213283868597,0.29561700711224,0.4020005369660924,0.5,0.4610211355716289,0.0,0.3732478989497667,0.2762755314776376,17,0.0,0.26202453868013487,0.2378767081268176,0.3681776345718974,1.4803491141109553
9869,112,354,1,0.0,0.0,0.026535237859314637,0.2038197808424545,0.00966182668569304,0.19257112288036884,0.5,0.4288048861189136,0.12575709013074374,0.45146847286800185,0.3863134678332368,17,0.0,0.39230304560575696,0.10561940910553028,0.1336144225333401,1.6367788741318632
9041,940,2397,1,0.0,0.4233003261273385,0.0,0.30548070713107833,0.4288273429832474,0.4425359382174137,0.5,0.26293807552458426,0.0,0.24219030931833804,0.33363958225664997,15,0.0,0.4823041919520669,0.39889264575886,0.25488806935484287,1.2112779287540623
9041,940,3464,1,0.0,0.10546710296008067,0.0,0.34689141162152576,0.40381693564101445,0.3643662976154384,0.5,0.2049850710349432,0.0,0.23410429071609606,0.44929832863465613,13,0.0,0.37671347711525993,0.49904079838311277,0.28028057062909,1.2224272671720562
9101,880,2072,1,0.0,0.21508073599636363,0.46865851622969973,0.47824754295273036,0.28409530352422663,0.39837713719114454,0.5,0.3107997909910402,0.0,0.23566672046210707,0.3427648881177459,18,1.4646870225140947,0.4340419445522488,0.41008598801222507,0.2658352342842068,1.2156942582242354
9301,680,3652,1,0.0,0.25147206601805205,0.0,0.4600843269430854,0.4247819797637073,0.18546494884207013,0.5,0.46296160732211644,0.0,0.23188320594960987,0.35718158436705727,13,0.09900852465195106,0.23740675987034848,0.07050259900155421,0.26756200177913486,1.2164617820045311
9401,580,1059,1,0.0021621833246856003,0.2700131454454981,0.1691043886725651,0.27161184656781273,0.08804739035423391,0.14657148161624006,0.2880819641916469,0.4058728127471908,0.28786565503271294,0.24013030390564827,0.26060562338687954,16,0.0,0.49924615655090215,0.4996374582692483,0.2753112669752751,1.2209165082597644
9781,200,601,1,0.0,0.419957282987044,0.3776162522259505,0.22819321708979023,0.5,0.49646101040411184,0.49715239443945336,0.17526135752270044,0.0,0.013046355173019272,0.49953295770834155,14,3.15707791897246,0.15637548911089746,0.4986190062747382,0.25783659515344604,1.2118073102069202
9981,0,12001,1,0.0,0.13665679099207204,0.12368322586884764,0.0,0.32004901075677294,0.0,0.5,0.4742095510170838,0.0,0.04269219950551999,0.1858647815435327,17,4.369821361276673,0.5,0.05559525771653563,0.4952585660981058,0.0
9981,0,12001,10,0.0,0.1973423854149217,0.0,0.5,0.184218044008733,0.5,0.5,0.42801532339913634,0.5,0.5,0.36075010935887336,20,8.030747531601754,0.02821576616278139,0.0,0.33158600724483683,0.0
