   arc_length_s    gamma_x(s)      gamma_y(s)      gamma_z(s)
1.205327e+03 2.059528e+01 3.604048e+00 1.214253e+02
1.211551e+03 1.975170e+01 5.411218e+00 1.155295e+02
1.217829e+03 1.885640e+01 7.196672e+00 1.095779e+02
1.224140e+03 1.791054e+01 8.957956e+00 1.035919e+02
1.230463e+03 1.691539e+01 1.069266e+01 9.759289e+01
1.236779e+03 1.587231e+01 1.239843e+01 9.160255e+01
1.243065e+03 1.478272e+01 1.407296e+01 8.564244e+01
1.249301e+03 1.364816e+01 1.571398e+01 7.973401e+01
1.255467e+03 1.247020e+01 1.731931e+01 7.389850e+01
1.261542e+03 1.125055e+01 1.888680e+01 6.815694e+01
1.267507e+03 9.990940e+00 2.041440e+01 6.252997e+01
1.273343e+03 8.693206e+00 2.190008e+01 5.703786e+01
1.279030e+03 7.359240e+00 2.334194e+01 5.170036e+01
1.284552e+03 5.991008e+00 2.473808e+01 4.653670e+01
1.289890e+03 4.590532e+00 2.608676e+01 4.156544e+01
1.295028e+03 3.159902e+00 2.738626e+01 3.680448e+01
1.299951e+03 1.701261e+00 2.863496e+01 3.227096e+01
1.304646e+03 2.168080e-01 2.983130e+01 2.798119e+01
1.309098e+03 -1.291208e+00 3.097388e+01 2.395061e+01
1.313298e+03 -2.820492e+00 3.206128e+01 2.019372e+01
1.317234e+03 -4.368704e+00 3.309228e+01 1.672405e+01
1.320901e+03 -5.933466e+00 3.406566e+01 1.355409e+01
1.324293e+03 -7.512364e+00 3.498036e+01 1.069523e+01
1.327407e+03 -9.102948e+00 3.583536e+01 8.157781e+00
1.330246e+03 -1.070275e+01 3.662982e+01 5.950861e+00
1.332817e+03 -1.230926e+01 3.736288e+01 4.082417e+00
